borough,name,phone,location,latitude,longitude,zipcode,type
Bronx,Daniel Webster Houses Child Health Clinic,718-538-2147,"401 168th Street Bronx, NY 10456 ",40.832279848967,-73.909534601874,10456,['Child Health Center']
Bronx,Gunhill Health Center,718-918-8850,"1012 Gunhill Road Bronx, NY 10469 ",40.874635999999995,-73.85784,10469,['Child Health Center']
Bronx,Health Center at Tremont,718-918-8700,"1826 Arthur Avenue Bronx, NY 10457 ",40.844083000000005,-73.894482,10457,['Child Health Center']
Bronx,Jacobi Medical Center,718-918-5000,"1400 Pelham Parkway Bronx, NY 10461 ",40.857427,-73.84707900000001,10461,"['Acute Care Hospital', 'Child Health Center']"
Bronx,Lincoln  Medical &  Mental Health Center,718-579-5000,"234 149th Street Bronx, NY 10451 ",40.817688484049,-73.924200271483,10451,['Child Health Center']
Bronx,Lincoln Medical and Mental Health Center,718-579-5000,"234 149th Street Bronx, NY 10451 ",40.817688484049,-73.924200271483,10451,['Acute Care Hospital']
Bronx,Melrose Houses Child Health Clinic,718-292-2820,"348 156th Street Bronx, NY 10451 ",40.821301194646,-73.917709787212,10451,['Child Health Center']
Bronx,Morrisania Diagnostic & Treatment Center,718-960-2777,"1225 Gerard Avenue Bronx, NY 10452 ",40.835957,-73.919986,10452,"['Diagnostic & Treatment Center', 'Child Health Center']"
Bronx,North Central Bronx Hospital,718-519-5000,"3424 Kossuth Avenue Bronx, NY 10467 ",40.880462,-73.88164,10467,"['Acute Care Hospital', 'Child Health Center']"
Bronx,Segundo Ruiz Belvis Diagnostic & Treatment Center,718-579-4000,"454 142nd Street Bronx, NY 10454 ",40.810901316477,-73.919313161708,10454,['Child Health Center']
Brooklyn,Brownsville Child Health Clinic,718-495-7283,"259 Bristol Street Brooklyn, NY 11212 ",40.664827,-73.911415,11212,['Child Health Center']
Brooklyn,Bushwick Communicare,718-573-4860,"335 Central Avenue Brooklyn, NY 11221 ",40.694674,-73.91915300000001,11221,['Child Health Center']
Brooklyn,Bushwick Community Health Center,718-919-1200,"1420 Bushwick Avenue Brooklyn, NY 11207 ",40.684318,-73.909056,11207,['Child Health Center']
Brooklyn,Coney Island Hospital,718-616-3000,"2601 Ocean Parkway Brooklyn, NY 11235 ",40.586552000000005,-73.96616800000001,11235,"['Acute Care Hospital', 'Child Health Center']"
