,id,name,borough,PHONE,description,latitude,longitude
0,41089834,MURRAY HILL DINER,Manhattan,2126866667,,40.745891233483,-73.980103842959
4,40596549,POLLOS A LA BARASA MARIO,Queens,7189322424,,40.758871630061996,-73.918771835688
7,40530583,CORNER GOURMET II,Manhattan,2124062200,,40.714643375040005,-74.009934378528
8,50074520,EL POLLO INKA PERU,Queens,6466512258,,40.682863900884,-73.850875262372
16,40367241,JG MELON RESTAURANT,Manhattan,2127440585,,40.771192500921,-73.959531818288
21,50038434,CANDELAS RESTAURANT,Brooklyn,7184381994,,40.649680105609,-74.009214733666
24,50046471,"KENNEDY FRIED CHICKEN, JUGOS NATURALES",Queens,7184267670,,40.745518003639,-73.904081772197
27,41708744,GOOD GOOD TASTE,Brooklyn,7188337555,,40.636524424596,-74.00849591
30,50069667,HOME,Queens,3476428500,,40.765183786795994,-73.913923092413
31,41608854,GAL BI MA EUL,Queens,7188192171,,40.757907565661995,-73.787455337287
39,40942069,CASSIDY'S PUB,Manhattan,2123970814,,40.762493679864,-73.976868043238
41,50070273,EMPIRE RESTAURANT,Manhattan,2128625660,,40.819255916138,-73.940794636053
42,50060385,ITAVOLO,Manhattan,2127511999,,40.757595296037,-73.969452044335
44,50041579,PA-NASH EUROSOUL RESTAURANT & LOUNGE,Queens,7189786094,,40.660171281681,-73.739470184253
46,41690532,KINGSBRIDGE DONUT SHOP,Bronx,3473464171,,40.879751741296,-73.906454907184
49,50079930,MAH KENNEDY FRIED CHICKEN,Staten Island,7189812400,,40.638127223133004,-74.087483334528
50,41710752,PALACE CAFE,Brooklyn,7183389525,,40.621025835369004,-73.94577644988001
53,41629524,COMMONS CAFE,Staten Island,3474664207,,40.603713212982,-74.179273342418
59,41042104,PATES PLUS BAKERY,Queens,7184689868,,40.716869311162,-73.735431083077
64,50042362,POSTITANO,Brooklyn,7188331313,,40.612519324608996,-74.033924551021
67,50041815,SWEETGREEN,Manhattan,2124964081,,40.780277609875,-73.9804004487
68,50100458,BERGDORF GOODMAN,Manhattan,8005581855,,40.763319168486,-73.973694652509
70,50051867,Julie's Pizzeria & Restaurant,Queens,3479161959,,40.704088446326,-73.90738762748201
72,50032900,NEW WIN CHINESE RESTAURANT,Queens,7185288775,,40.660206906277,-73.739444814376
74,50087123,POPEYES,Bronx,7186531100,,40.898268465932,-73.854448696469
78,41646302,EAST GARDEN,Queens,7187291188,,40.756485341739,-73.92958169081601
82,50073558,CENTRO PIZZA BAR & ITALIAN KITCHEN,Queens,7183611965,,40.744936532412,-73.953351344756
85,50087688,ANGAAR,Manhattan,2123934040,,40.778270788212,-73.978147955765
89,50075878,COOKIE CRUMZ,Queens,6318273291,,40.749535619587995,-73.95064124819
90,41477814,"2 BROS PIZZA, CORVO COFFEE",Manhattan,2126952642,,40.75704199863,-73.99362190872
93,40536616,RIAZOR BLUE TAPAS BAR,Queens,7184248464,,40.756258933279,-73.878694933247
97,41154306,LITTLE ITALY M & O PIZZA RESTAURANT,Brooklyn,7184559200,,40.698320173059,-73.937653108848
101,50003774,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Brooklyn,7185766021,,40.636919302564,-73.937310759686
104,40694764,MANNY'S GRILL,Brooklyn,7184868225,,40.71396246891,-73.932530599638
106,41418301,THE SMILE,Manhattan,6463295836,,40.726372016454,-73.993570737031
110,50002521,JADE PALACE,Bronx,7183201584,,40.864051808709995,-73.82255654243801
114,50018680,KATONAH PIZZA,Bronx,7189948337,,40.898791932156,-73.86742638732099
116,41105300,"DUNKIN',' BASKIN ROBBINS",Brooklyn,6463548755,,40.672820699701,-73.911796850651
118,50050634,RITAS,Brooklyn,7182667482,,40.575542393994006,-73.981871845088
119,41470208,FINANCIER PATISSERIE,Manhattan,2129731010,,40.752785703357,-73.978073333536
122,41566334,THE ANCHORED INN,Brooklyn,7185763297,,40.709213858442,-73.937080194676
124,41018146,TROPICAL II RESTAURANT,Queens,7183922734,,40.737582285551,-73.92978217085
126,50017967,PROSPERITY NOODLE,Brooklyn,9176831622,,40.654085754239,-74.004634702015
131,41216183,TRADER'S EXPRESS DELI,Manhattan,2124820620,,40.704962365404,-74.012089753905
138,41174407,CAFE 71,Manhattan,2128752100,,40.77818089758,-73.982112544602
142,50072357,HAPPY GARDEN,Queens,7188881109,,40.753864832462,-73.832379989194
143,50075990,SAUCE PIZZERIA,Manhattan,6469834007,,40.730548723386995,-73.984802604029
146,41641276,TABOONETTE,Manhattan,2125107871,,40.734757231006,-73.992837430303
150,50080925,KING SUBS,Brooklyn,9172385476,,40.664428139841,-73.997184863397
152,50051741,HAAB,Brooklyn,7183690849,,40.669331811107995,-73.98286641245599
158,50094148,LEE CHINESE RESTAURANT,Brooklyn,9172131723,,40.660934109878,-73.885104459768
160,50063422,98 Favor Taste,Manhattan,2122560480,,40.728740301931,-73.98799972414601
166,41546934,ALLEY POND SPORTS BAR & GRILL,Queens,7182259187,,40.763875301699,-73.74965093799099
169,41449122,TABARE,Brooklyn,3473350187,,40.712956711402995,-73.959094773167
174,40782092,STARBUCKS,Manhattan,2124065312,,40.714816580157,-74.005778836563
176,50067105,ATAMI,Manhattan,2126886868,,40.762138792790005,-73.963233813411
180,50072519,MIKE'S DINER,Brooklyn,3475679223,,40.611947469440004,-74.010437679285
184,41415845,BRISAS DEL CARIBE,Bronx,7187949710,,40.832165548169996,-73.851106684792
186,50045140,AUNTIE GUAN'S KITCHEN 108,Manhattan,2122068388,,40.737592767193,-73.99743435536101
190,50064574,RIM TIN MEDITTEREAN,Queens,7186746503,,40.71013615977,-73.848902296309
193,41376986,WIMPYS RESTAURANT,Manhattan,2123484252,,40.795748167371,-73.94858070708399
197,50065881,ROLLING COW,Staten Island,6468758879,,40.582297419955,-74.169052592685
199,41491093,HAAGEN-DAZS,Manhattan,2127772477,,40.731082034173,-73.993566672696
201,50081579,BLISS BOWL,Manhattan,2126689888,,40.708011532225,-74.014449217818
205,41675471,El Crucero Restaurant & Grill,Bronx,7184027252,,40.809886939784,-73.924742105903
213,50041369,NEW METRO SUSHI CAFE,Queens,7188508888,,40.706863267318,-73.834186632076
216,50066473,MASTER GRILL,Bronx,7182928888,,40.805979304297,-73.914256640029
221,41046187,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Manhattan,2122835933,,40.812605984877,-73.941938538887
223,50074799,SERGIMMO,Manhattan,9173539808,,40.73547656867,-73.998195806722
226,50010285,FOOLS GOLD,Manhattan,2126732337,,40.723248190153,-73.989703561649
227,40370781,MCDONALD'S,Queens,7187466063,,40.780619118400004,-73.802039011533
229,41389314,TWIN DONUT,Bronx,6463935450,,40.862782299997,-73.90133787987601
231,41281381,RED BOWL CHINESE RESTAURANT,Brooklyn,7183888898,,40.717002331645006,-73.958623320908
235,50109423,NOI DUE PIZZA,Manhattan,19142049242,,40.77604813213,-73.98153542473699
236,50032820,HOLIDAY INN EXPRESS,Brooklyn,7187971133,,40.677956122618,-73.984436082593
240,50071438,PLAYSTATION THEATRE,Manhattan,2129301950,,40.7576286762,-73.985803477709
242,41644006,FULL CIRCLE BAR,Brooklyn,5127810900,,40.712667598609,-73.95661323383601
244,41063283,SANTA FE,Manhattan,2127240822,,40.776448360581,-73.978621546726
247,41698410,SUSHI TOKYO,Brooklyn,7189541557,,0.0,0.0
250,50107607,CASITA OF BK,Brooklyn,9175136773,,40.668229048347,-73.987859254172
251,50067429,L'ANGOLO RISTORANTE,Manhattan,2126253333,,40.717415550492,-74.010392933756
253,50094941,AMSTERDAM SUSHI,Manhattan,6464766708,,40.818879733885005,-73.952258789362
256,50061001,BY CHLOE,Brooklyn,9177537796,,40.715328421135,-73.959742624564
258,50017217,SHERWOODS KEEP,Queens,7183810400,,40.708173796128996,-73.91981493011
260,41393099,THE DUBLINER,Manhattan,2127855400,,40.704331239244,-74.010340392303
265,41255390,27 SPORTS BAR & CAFE,Bronx,7187313585,,40.844397949719,-73.914915336046
268,50046634,A GUSTO,Brooklyn,3475339961,,40.680001400529,-73.942624085299
271,50071225,F & M 99 CENTS PIZZA,Manhattan,3479166922,,40.725579548742,-73.977764828804
